Package,Version
adjustText,0.7.3
alembic,1.9.1
appdirs,1.4.4
argon2-cffi,20.1.0
astor,0.8.1
async-generator,1.10
attrs,20.3.0
autograd,1.5
autograd-gamma,0.5.0
backcall,0.2.0
backports.zoneinfo,0.2.1
bidict,0.21.4
bioinfokit,2.1.0
bleach,3.3.0
boto3,1.16.7
botocore,1.19.7
certifi,2020.12.5
cffi,1.14.5
chardet,4.0.0
charset-normalizer,2.1.1
click,8.1.3
cloudpickle,2.2.0
cycler,0.10.0
Cython,0.29.23
daft,0.1.2
databricks-cli,0.17.4
DateTime,4.9
dbus-python,1.2.16
decorator,5.0.6
defusedxml,0.7.1
distlib,0.3.4
distro,1.4.0
distro-info,=0.23ubuntu1
docker,6.0.1
entrypoints,0.3
facets-overview,1.0.0
filelock,3.6.0
Flask,2.2.2
fontawesomefree,6.2.1
formulaic,0.5.2
future,0.18.2
gitdb,4.0.10
GitPython,3.1.30
graphlib-backport,1.0.3
greenlet,2.0.1
gunicorn,20.1.0
hyperopt,0.2.7
idna,2.10
imbalanced-learn,0.10.1
imblearn,0.0
importlib-metadata,5.2.0
importlib-resources,5.10.2
interface-meta,1.3.0
ipykernel,5.3.4
ipython,7.22.0
ipython-genutils,0.2.0
ipywidgets,7.6.3
itsdangerous,2.1.2
jedi,0.17.2
Jinja2,3.1.2
jmespath,0.10.0
joblib,1.2.0
joblibspark,0.5.1
jsonschema,3.2.0
jupyter-client,6.1.12
jupyter-core,4.7.1
jupyterlab-pygments,0.1.2
jupyterlab-widgets,1.0.0
kiwisolver,1.3.1
koalas,1.8.2
lifelines,0.27.4
llvmlite,0.39.1
lxml,4.9.2
Mako,1.2.4
Markdown,3.4.1
MarkupSafe,2.1.1
matplotlib,3.4.2
matplotlib-venn,0.11.7
mistune,0.8.4
mlflow,2.1.1
mlxtend,0.21.0
nbclient,0.5.3
nbconvert,6.0.7
nbformat,5.1.3
nest-asyncio,1.5.1
networkx,3.0
notebook,6.3.0
numba,0.56.4
numpy,1.20.1
nvidia-cublas-cu11,11.10.3.66
nvidia-cuda-nvrtc-cu11,11.7.99
nvidia-cuda-runtime-cu11,11.7.99
nvidia-cudnn-cu11,8.5.0.96
oauthlib,3.2.2
opt-einsum,3.3.0
packaging,22.0
pandas,1.2.4
pandocfilters,1.4.3
parso,0.7.0
patsy,0.5.1
pexpect,4.8.0
pgmpy,0.1.21
pickleshare,0.7.5
Pillow,8.2.0
plotly,5.5.0
prometheus-client,0.10.1
prompt-toolkit,3.0.17
protobuf,3.17.2
psmpy,0.3.13
psycopg2,2.8.5
ptyprocess,0.7.0
py4j,0.10.9.7
pyarrow,4.0.0
pycparser,2.20
Pygments,2.8.1
PyGObject,3.36.0
PyJWT,2.6.0
pyparsing,2.4.7
pyrsistent,0.17.3
python-apt,2.0.0+ubuntu0.20.4.8
python-dateutil,2.8.1
python-engineio,4.3.0
python-socketio,5.4.1
pytz,2020.5
pytz-deprecation-shim,0.1.0.post0
pywaffle,1.1.0
PyYAML,6.0
pyzmq,20.0.0
querystring-parser,1.2.4
requests,2.28.1
requests-unixsocket,0.2.0
rpy2,3.5.5
s3transfer,0.3.7
scikit-learn,1.2.0
scipy,1.10.0
seaborn,0.11.1
Send2Trash,1.5.0
shap,0.41.0
six,1.15.0
slicer,0.0.7
smmap,5.0.0
SQLAlchemy,1.4.46
sqlparse,0.4.3
ssh-import-id,5.10
statsmodels,0.12.2
tableone,0.7.12
tabulate,0.9.0
tenacity,8.0.1
terminado,0.9.4
testpath,0.4.4
textwrap3,0.9.2
threadpoolctl,2.1.0
torch,1.13.1
tornado,6.1
tqdm,4.64.1
traitlets,5.0.5
typing-extensions,4.4.0
tzdata,2022.7
tzlocal,4.2
unattended-upgrades,0.1
urllib3,1.26.14
virtualenv,20.4.1
wcwidth,0.2.5
webencodings,0.5.1
websocket-client,1.4.2
Werkzeug,2.2.2
widgetsnbextension,3.5.1
wrapt,1.14.1
xgboost,1.7.3
zipp,3.11.0
zope.interface,5.5.2
